review,label
而且操作容易掌握,1
简洁的设计,1
非常人性化的设计啊,1
前后均匀的配重,1
整体感觉很自然,1
使照片分辨率高,1
丰富的场景模式,1
强大的配置和主流的参数证明,1
出色的制造工艺加上强金属质感的拉丝工艺面板,1
使得夜景拍摄能力一般,0
背面的设计个人感觉有些局促,0
外观时尚,1
显示屏的像素低,0
所以在图像处理的速度方面非常迅速,1
它们外观大气又不失漂亮,1
英寸的大屏幕,1
有大量场景模式供选择,1
使它的色泽鲜亮,1
操作上不爽若干,0
快门时滞真的让人很不爽,0
在噪点控制上还是不错的,1
而且在图象的细节表现方面和图象的分辨率上都是非常好,1
这款机器的价格方面现在非常低,1
且变焦过程非常顺滑流畅,1
不仅外观上略显累赘,0
所以在其它相机上常见的紫边现像已经很少了,1
精良的做工,1
而且配置了接近完美的手动功能人像,1
快门延时很长,0
使得拍照的抓拍能力不是很强,0
非常清晰的取景器图像,1
白平衡控制方面也不出众,0
同时小巧的高速快门,1
机顶闪光灯位置相当合理,1
紫边等各方面的表现均同样优秀,1
色彩方面更加趋于接近真实,1
更为人性化的设计,1
英寸的大屏幕的显示器,1
开关等没有的精细,0
小巧的外型,1
画面角落的细节损失不大,1
优秀的画质,1
对焦点少了点,0
有大量场景模式供选择,1
对焦速度方面依然表现一般,0
加上优秀的图像细节捕捉能力和图像锐度,1
在短片拍摄上比较弱,0
机身造型感觉没有太多亮点,0
电池功能上更值得一提,1
机子重量还行,1
外观依旧不专业,0
具有全面的防水和防尘功能,1
坚固的镁合金机身,1
整体感觉厚实,1
出色的色彩表现,1
因此造成整个画面偏灰,0
这款相机在外观上并非超薄,0
做工一流,1
精巧的准专业外形设计,1
完备的手动功能,1
完备的配件,1
操作简单快捷,1
有很好的录音品质但没有单独提供录音功能,1
虽然广角端视野较标准头要小,0
当然噪点问题是无可避免的,0
显色高亮清晰,1
尽管联想在外观设计上还显得稚嫩,0
但在各项拍摄功能上还是做得很周到的,1
在画面细节上的表现还算不错,1
提供的各项功能之丰富,1
有评测所说的紫边现象也并不明显,1
高光物体边缘有明显紫边现象,0
超级,1
画面中透着一些柔和,1
镜头在同级相机中偏好,1
对焦速度以及很短的快门延迟,1
实际拍摄的风景图像中画面反差适中,1
的整体的流线型做的十分出色,1
英寸超大液晶屏幕,1
的镜头配置也绝对称的上主流,1
这款机器在设计上不合理,0
方便携带或许是三星数码相机外观设计方面唯一值得称赞的一点了,1
细节方面处理的较好,1
使所拍摄的相片真实感较差,0
存在很明显的噪点现象,0
感光度范围广,1
噪点的产生少,1
强大的拍动画功能,1
这款的画质清洁度感觉一般,0
色彩整体还原可圈可点,1
所拍摄照片整体和谐,1
有不良的紫边现象,0
外观美,1
双电池系统电力超长,1
也是索尼所有立式机当中配置最低的一款,0
丰富的场景模式,1
威猛的机身,1
这反映出产品做工的精细的一面,1
配备了最新的真实影像处理器,1
图像储存慢显示屏黄灰色不适合我们的眼光观看,0
出色的光学性能,1
超级微距功能,1
佳能不仅在长焦距性能上出众,1
具有对焦安静迅速的特点,1
做工细致的外壳,1
宽大的机身以及手柄,1
外形以及把持手感方面表现出色,1
令取景角度更加灵活,1
噪点抑制的相当出色,1
对目前最为流行的短片拍摄做得也很好,1
在日光下色彩还原非常好,1
尤其在全黑的情况下成像较差,0
使用起来她的反应迅速,1
镜头变焦不够大,0
留给用户自定义的快门速度值有限,0
的上参数显示比较清晰,1
万像素的显示非常清楚,1
色彩还原非常真实,1
曝光模试比较全面,1
固定背带环不好,0
微距表现好,1
色彩表现很真实,1
不过其控键分布紧密,0
但阴影处的表现欠佳,0
的肤色还原较真实,1
暗部噪点控制相当好,1
画面迟滞非常明显,0
测光非常准确,1
色彩还原到位,1
机身右侧设计过于平滑且没有任何凸起,0
虽然曝光准确但在逆光部位边框较明显,0
机身外形设计有些偏大,0
发现此机对于暗光线下的拍摄非常出色,1
手柄设计得很人性化,1
效率和画质都好于一般视频头捕捉,1
机身尺寸和重量上要比轻薄一些机子整个布局,1
机身上的按键布局非常传统,1
快门延迟不明显,1
因为它的机身体积与屏幕尺寸都比较小,1
自动白平衡比较准确,1
尺寸及镜头口径偏小,0
拍出来的照片清晰度和色彩都是非常的好的,1
紫边和暗角也控制的相当不错,1
朴素而又大方得体的设计,1
外观更加时尚,1
的成像尽管清晰度比较高,1
自动白平衡偏差比较明显,0
处理速度和拍摄响应上非常迅速,1
新镜头在体积与重量上都较传统的镜头少许多,1
紫边和暗角也控制的相当不错,1
自动白平衡非常准确,1
快门迟滞极短,1
自动白平衡比较准确,1
尤其是开机和变焦相当流畅,1
还具有多种拍摄模式和多种场景模式,1
多了几档光圈的镜头可以与快门配合为日常使用提供更多的曝光量组合,1
锐度和反差都有所不足,0
在高分辨下它的噪点和成像颗粒感会稍微严重一些,0
白平衡准确,1
躁点和紫边严重,0
为此花费不小,0
画面的饱和度和对比度都比较低,0
自动白平衡极为准确,1
近拍很爽,1
拍摄点光源及夜景效果出众,1
不过做工和手感还是比较让人满意的,1
拍出的图片层次感和立体感丰富,1
自动曝光比较准确,1
功能按键设计也更具人性化,1
白平衡准确,1
具有不错的高性价比,1
晚上可能会用上但噪点比较多,0
成像效果较相同价位和相同像素级单片机要好很多了,1
暗部色彩和清晰度较好,1
色彩还原和清晰度比好很多,1
细节和色彩表现都非常出众,1
菜单操作不够人性化,0
它的连拍和短片功能都是很强的,1
它的自动白平衡相对来说比较准确,1
色彩和分辨率表现很不错,1
前后双拨轮令操作更快捷更简单,1
对焦方式丰富且单点高速对焦速度很快,1
硬件配置不错配置的是在时尚卡片机中最高端的大视角,1
质感没有来的舒服,0
感觉按键偏软,0
变焦连贯,1
人机界面亲和,1
毕竟它像素高,1
机身背面比较抢眼,1
焦性能并不十分优秀,0
而佳能相机的噪点控制相对较好,1
电池特耐用,1
厚度也可以,1
如此高性能的相机如此实惠的价格,1
还原度不错,1
分辨率高质量的录像,1
阴天里的长焦表现一般,0
不但外观看上去非常精致,1
而且握在手中也是质感一流,1
还把跟一样的超高分辨率的短片拍摄能力挪动过来,1
而镜头的变焦环手感则不错,1
简洁的设计,1
阴天里的长焦表现一般,0
也使机身更具质感,1
主要特点是使图像清晰锐利并有效减小镜头的体积,1
在防紫边现像方面控制的也不是很好,0
强光源下眩光明显,0
效果一流,1
高性价比,1
相机对焦略显犹豫,0
非常人性化的设计啊,1
与相比款式更新,1
惟独紫边让人扫兴,0
变焦比小,0
使操控更为简便,1
按钮设计得很顺手,1
经常出现测光不稳定,0
硬件的全局平衡性比较强,1
延时长,0
的大光圈使具有专业摄像机的外观和部分功能,1
在实际使用时感觉的镜头变形控制的非常出色,1
再加上按键数目太多,0
卡西欧的和松下机拍的照片紫边很明现的,0
前后均匀的配重,1
对比度非常差,0
除了微距较好,1
的微距对焦速度也理想,1
成像效果佳,1
按键手感毫无悬念,0
也将机身重量控制得比较合理,1
自定义对焦点太少了,0
对焦以及快门时滞确实在同级别产品中出类拔萃,1
英寸万像素的超大屏幕,1
考虑到卡不人性的价格,0
对焦速度感觉比慢一点,0
三个对焦点有点少,0
在比较暗的地方其对焦成功率仍然很高,1
给人不错的操作感受,1
所以对于画面噪点控制的相当不错,1
快速的自动对焦系统装配的是点人工智能自动对焦,1
而且对焦非常准确和迅速,1
辅助对焦灯的作用也不太明显,0
而且与其他数码产品的兼容性较差,0
像素较高达到,1
长焦端感觉对焦速度慢,0
对焦干脆,1
对红色和绿色的饱和度还原的比较好,1
手动对焦操作不方便,0
好在奥林巴斯的售后非常好,1
对焦速度十分快,1
至于防尘就不在话下了,1
对紫边的控制做的也不错,1
对焦速度有所减慢,0
自动对焦较差,0
实际使用中感觉成像效果还是比较很不错的,1
迅速对焦,1
相对于同系列产品来说高性价比是三星的明显优势,1
理光那种流畅的瞬间对焦又再次回到了我的身边,1
自动对焦速度太慢,0
机顶部分按键手感偏硬,0
手动变焦对焦环手感舒适,1
用久了电池散热不佳感觉发烫,0
不具备当前最流行的防抖技术,0
具有强大的视频拍摄能力,1
可以获得更高的信噪比和不错的影像质量,1
加上做工精良的光学取景器,1
但是垂直可视角度比效差大约只能达到度左右,0
但是在长焦端拍摄特写效果依旧显著,1
的内变焦镜头变焦噪音特别低,1
是比较老的格式,0
松下系列始终以做工精湛,1
错是十分先进成熟的物理防抖技术,1
设置参数多,1
这也让能有更出色的微距表现,1
不过由于格式的压缩比率较小,0
能在光线不足的环境中拍摄出清晰的照片,1
这是一个相当实用的功能,1
视频拍摄流畅,1
延续了索尼数码相机较强的短片拍摄能力,1
长焦端画质不错,1
只能怪它的成像不好,0
有严重的紫边现象,0
经过磨砂处理的全金属外壳令它拥有冷冰冰的细腻手感,1
虽然没有漂亮的双色机身设计,0
但是它的磨砂金属机身和小巧的机身依然为用户带来了很好的手感,1
各部件的接缝十分细小,1
采用了专业的毫安锂电池,1
的操控十分流畅,1
这样在显示效果方面就细腻了很多,1
配有独创的除尘系统,1
噪点控制能力一般,0
的超级防抖功能,1
没有设计专门的电池手柄,1
值得一提的是专业的防抖技术,1
再有性价比出众,1
保证了优质的成像效果,1
具有较强的动态影像拍摄能力,1
最不爽的就是快门,0
但想手动调节还不行,0
色彩还原真实,1
当初选择是因为她具有超簿的机身,1
内置十分丰富的种场景模式和按键,1
感觉它的液晶屏用起来不是很爽,0
手持手感好,1
还具有六种特殊而又常用的场景模式,1
另外还提供了相当多的预置场景模式,1
有时候还有比较明显的紫边现象,0
存储时间等等都较长,0
和表情变化丰富的儿童能有较好的效果,1
保证能给玩家足够好的手感,1
成像畸变少,1
使相机具备了更强大的数据处理能力,1
使相机具备了更强大的数据处理能力,1
闪光灯弹出角度更高,1
电池使用时间持久,1
发现他的噪点控制很一般,0
处理器处理功能强大,1
采用了佳能先进的数字影像处理器,1
屏幕比屏幕具有更高的色彩饱和度和亮度,1
感觉细节处理不够好,0
特别是镜头变焦噪音控制的比较好,1
但毕竟是全新的设计,1
虽然配有奥林巴斯独家的超声波防尘技术,1
可获得最为鲜活自然的色彩效果,1
充满人性化设计的理念相比前代机型,1
干净利落的不锈钢切片镜头档板省去了传统有绳镜头盖的拖沓冗长,1
拥有这般速度的它还具备超强的微距,1
这款相机的另一特色便是优秀的连拍能力,1
而且还带有诱人的广角,1
非常快的开机速度,1
拥有庞大的镜头群,1
具有多种情景模式,1
具有较强的动态影像拍摄能力,1
这就是实用的翻转,1
提供了更大曝光量,1
使用它的取景十分费力,0
　多种测光方式带有多种测光方式,1
个人感觉它的测光系统检测出来的曝光量非常合适,1
　画面颗粒感较大画面上有明显的颗粒感,0
无论在任何环境中都能保持非常干净的画面,1
搭配上丰富的种场景拍摄模式,1
确实是一个不错的设计,1
展现了较好的层次感,1
这可是一个比较贴心的设计,1
随机还赠送精美皮套一个,1
采用著名的德国施耐德镜头,1
实际拍摄中感觉成像清晰,1
其他参数和配置也很主流,1
特别是大大的镜头,1
变焦速度和对焦速度还可以,1
极佳的微距效果,1
上佳的成像能力,1
使用了优质的镜头,1
电池使用时间超长,1
同时又具备全面的自动功能,1
长焦端光圈偏小,0
独一无二的摄影功能,1
方便的取电方式,1
客观说的成像在同类里还能算中游,1
却有着以往时尚类数码相机所不具备的丰富功能,1
其中最为实用的当数降噪功能,1
中所附带的被动式降噪功能十分实用,1
它为像本人这样的夜拍爱好者提供了相对细腻的画质,1
色彩还原真实,1
也是实现准确的色彩还原,1
画面显示不够精细,0
手柄握持感稳当,1
在高光条件下拍摄图像相当不错,1
美能达是存在降噪不好的情况,0
拥有最近厘米的超级微距能力,1
寸万像素显示效果尚可,1
性能使用的虽是富士自产的超级,1
独特的旋转镜头加上飞快的开机速度,1
再加上比较方便的操控方式及预设的场景模式,1
其电力还是比较强劲的,1
控制紫边能力等方面的表现均属上乘,1
有比较明显的躁点,0
但也发现局部有较明显的紫边,0
对于家用消费级的来说成像方面还可以,1
对噪点的控制较为理想,1
值得一提的是夜景拍摄模式,1
使用过程中即使是多点测光都会曝光不足,0
在视频拍摄功能方面和相比也有一定的进步,1
